Date and time,Mean Discharge (ML/D),Min Discharge (ML/D),Max Discharge (ML/D)
1/07/2005 8:00,479.145,0.608,19458.254
1/08/2005 8:00,84.05,4.445,2498.333
1/09/2005 8:00,1.911,0.736,4.445
1/10/2005 8:00,1.871,0.491,14.23
1/11/2005 8:00,38.047,0.378,1426.578
1/12/2005 8:00,60.952,1.57,1653.329
1/01/2006 8:00,8.628,0.524,106.313
1/02/2006 8:00,1.873,0.363,23.352
1/03/2006 8:00,0.581,0.212,21.858
1/04/2006 8:00,3.798,0.257,37.03
1/05/2006 8:00,0.186,0.03,0.348
1/06/2006 8:00,0,0,0.03
1/07/2006 8:00,0,0,0
1/08/2006 8:00,0.212,0,2.032
1/09/2006 8:00,34.652,0.378,440.417
1/10/2006 8:00,163.459,1.852,3286.636
1/11/2006 8:00,0.827,0.333,2.925
1/12/2006 8:00,4.452,0.333,74.936
1/01/2007 8:00,0.433,0.121,1.411
1/02/2007 8:00,0.026,0,0.151
1/03/2007 8:00,0.16,0,0.524
1/04/2007 8:00,3.94,0.197,70.362
1/05/2007 8:00,1.2,0.333,4.812
1/06/2007 8:00,1.185,0.227,7.075
1/07/2007 8:00,348.061,0.242,14390.73
1/08/2007 8:00,12.464,2.505,45.038
1/09/2007 8:00,415.058,0.524,20836.097
1/10/2007 8:00,30.85,1.68,465.71
1/11/2007 8:00,1.385,0.378,8.979
1/12/2007 8:00,138.821,0.814,3690.23
1/01/2008 8:00,58.927,4.237,1646.54
1/02/2008 8:00,208.672,1.737,4782.457
1/03/2008 8:00,201.503,12.384,2331.319
1/04/2008 8:00,12.459,1.972,76.107
1/05/2008 8:00,916.838,2.415,12954.871
1/06/2008 8:00,17.907,4.626,301.091
1/07/2008 8:00,80.817,4.626,2494.081
1/08/2008 8:00,13.29,2.284,193.332
1/09/2008 8:00,4.97,1.36,24.293
1/10/2008 8:00,283.454,2.22,7903.015
1/11/2008 8:00,4.588,1.625,29.314
1/12/2008 8:00,5.766,0.557,106.313
1/01/2009 8:00,17.065,0.855,473.1
1/02/2009 8:00,0.509,0.172,1.833
1/03/2009 8:00,612.621,0,9791.55
1/04/2009 8:00,28.823,1.117,2290.546
1/05/2009 8:00,275.997,8.854,4889.321
1/06/2009 8:00,280.905,3.047,5214.316
1/07/2009 8:00,310.767,12.207,4814.438
1/08/2009 8:00,14.896,6.03,36.811
1/09/2009 8:00,2.95,0.938,6.03
1/10/2009 8:00,0.746,0.43,0.938
1/11/2009 8:00,4.229,0.401,61.135
1/12/2009 8:00,242.115,0.698,8893.896
1/01/2010 8:00,13.279,0.318,405.809
1/02/2010 8:00,34.168,0.43,983.402
1/03/2010 8:00,13.226,1.056,117.563
1/04/2010 8:00,3.137,0.333,26.51
1/05/2010 8:00,0.6,0.318,2.284
1/06/2010 8:00,0.258,0.076,0.918
1/07/2010 8:00,36.775,0.855,1083.158
1/08/2010 8:00,39.552,0.661,603.565
1/09/2010 8:00,45.211,1.163,1152.034
1/10/2010 8:00,0.73,0.348,1.625
1/11/2010 8:00,26.79,0.378,299.696
