lat (degrees_north),lon (degrees_east),time (UTC),old SST,new SST
-32.23,152.61,2012-06-15T21:20:00Z,293.40683,292.78265
-32.23,152.61,2012-07-16T09:20:00Z,292.52365,291.99475
-32.23,152.61,2012-08-16T09:20:00Z,291.56888,290.52017
-32.23,152.61,2012-09-15T21:20:00Z,290.46625,291.90475
-32.23,152.61,2012-10-16T09:20:00Z,292.17184,292.99002
-32.23,152.61,2012-11-15T21:20:00Z,293.54422,294.6705
-32.23,152.61,2012-12-16T09:20:00Z,295.1284,294.71683
-32.23,152.61,2013-01-16T09:20:00Z,294.8397,295.55243
-32.23,152.61,2013-02-14T21:20:00Z,296.1355,297.26358
-32.23,152.61,2013-03-16T09:20:00Z,296.92218,296.74658
-32.23,152.61,2013-04-15T21:20:00Z,296.508,294.5332
-32.23,152.61,2013-05-16T09:20:00Z,295.3838,293.8604
-32.23,152.61,2013-06-15T21:20:00Z,293.61783,292.5327
-32.23,152.61,2013-07-16T09:20:00Z,292.0386,293.29562
-32.23,152.61,2013-08-16T09:20:00Z,292.90717,291.66318
-32.23,152.61,2013-09-15T21:20:00Z,291.41376,293.59
-32.23,152.61,2013-10-16T09:20:00Z,293.59003,293.29224
-32.23,152.61,2013-11-15T21:20:00Z,293.4435,293.68512
-32.23,152.61,2013-12-16T09:20:00Z,293.52762,294.885
-32.23,152.61,2014-01-16T09:20:00Z,295.6401,294.3175
-32.23,152.61,2014-02-14T21:20:00Z,293.86502,295.875
-32.23,152.61,2014-03-16T09:20:00Z,295.31873,297.09
-32.23,152.61,2014-04-15T21:20:00Z,296.8732,295.6025
-32.23,152.61,2014-05-16T09:20:00Z,295.4681,293.70502
-32.23,152.61,2014-06-15T21:20:00Z,294.35086,292.87003
-32.23,152.61,2014-07-16T09:20:00Z,292.44,292.01
-32.23,152.61,2014-08-16T09:20:00Z,291.29596,292.1225
-32.23,152.61,2014-09-15T21:20:00Z,291.81656,292.3999
-32.23,152.61,2014-10-16T09:20:00Z,291.81436,293.4724
-32.23,152.61,2014-11-15T21:20:00Z,292.7298,294.93268
-32.23,152.61,2014-12-16T09:20:00Z,294.79315,295.41818
-32.23,152.61,2015-01-16T09:20:00Z,295.00925,296.29846
-32.23,152.61,2015-02-14T21:20:00Z,295.85605,296.01764
-32.23,152.61,2015-03-16T09:20:00Z,296.08908,296.96298
-32.23,152.61,2015-04-15T21:20:00Z,296.82532,296.36246
-32.23,152.61,2015-05-16T09:20:00Z,297.04944,294.21405
-32.23,152.61,2015-06-15T21:20:00Z,291.9884,292.112
-32.23,152.61,2015-07-16T09:20:00Z,292.29608,291.41888
-32.23,152.61,2015-08-16T09:20:00Z,291.40823,292.3326
-32.23,152.61,2015-09-15T21:20:00Z,292.10764,293.1727
-32.23,152.61,2015-10-16T09:20:00Z,292.96,293.80557
-32.23,152.61,2015-11-15T21:20:00Z,293.2559,293.2918
-32.23,152.61,2015-12-16T09:20:00Z,293.33145,297.46973
-32.23,152.61,2016-01-16T09:20:00Z,297.79428,297.29837
-32.23,152.61,2016-02-15T09:20:00Z,297.15753,297.75375
-32.23,152.61,2016-03-16T09:20:00Z,298.09378,298.27048
-32.23,152.61,2016-04-15T21:20:00Z,296.699,295.50073
-32.23,152.61,2016-05-16T09:20:00Z,295.01236,293.03812
-32.23,152.61,2016-06-15T21:20:00Z,292.6796,292.21017
-32.23,152.61,2016-07-16T09:20:00Z,293.05573,292.11145
-32.23,152.61,2016-08-16T09:20:00Z,292.24838,292.06238
-32.23,152.61,2016-09-15T21:20:00Z,291.56747,292.63858
-32.23,152.61,2016-10-16T09:20:00Z,293.12152,294.37177
-32.23,152.61,2016-11-15T21:20:00Z,294.02103,293.6035
-32.23,152.61,2016-12-16T09:20:00Z,293.93076,296.59427
-32.23,152.61,2017-01-16T09:20:00Z,295.95938,295.73257
-32.23,152.61,2017-02-14T21:20:00Z,296.21805,297.54642
-32.23,152.61,2017-03-16T09:20:00Z,297.08517,297.46466
-32.23,152.61,2017-04-15T21:20:00Z,294.84146,294.2132
-32.23,152.61,2017-05-16T09:20:00Z,294.13077,293.94318
-32.23,152.61,2017-06-15T21:20:00Z,293.8833,292.573
-32.23,152.61,2017-07-16T09:20:00Z,292.12665,292.35883
-32.23,152.61,2017-08-16T09:20:00Z,292.026,292.8225
-32.23,152.61,2017-09-15T21:20:00Z,292.46585,292.83585
-32.23,152.61,2017-10-16T09:20:00Z,292.2932,293.86554
-32.23,152.61,2017-11-15T21:20:00Z,293.63257,294.40018
-32.23,152.61,2017-12-16T09:20:00Z,294.07288,296.2409
-32.23,152.61,2018-01-16T09:20:00Z,295.6686,297.63855
-32.23,152.61,2018-02-14T21:20:00Z,297.13486,297.25403
-32.23,152.61,2018-03-16T09:20:00Z,297.95023,296.3248
